('DPFLIPSTAT',			'0x70028', '0x180000')
('DPINVGTT',			'0x7002C', '0x180000')

('DSPARB',			'0x70030', '0x180000')
('DSPARB2',			'0x70060', '0x180000')
('DSPARB3',			'0x7006C', '0x180000')

('DSPHOWM',			'0x70064', '0x180000')
('DSPHOWM1',			'0x70068', '0x180000')
('FW1',				'0x70034', '0x180000')
('FW2',				'0x70038', '0x180000')
('FW3',				'0x7003C', '0x180000')
('FW4',				'0x70070', '0x180000')
('FW5',				'0x70074', '0x180000')
('FW6',				'0x70078', '0x180000')
('FW7',				'0x7007C', '0x180000')
('FW8',				'0x700B8', '0x180000')
('FW9',				'0x700BC', '0x180000')

('DDL1',			'0x70050', '0x180000')
('DDL2',			'0x70054', '0x180000')
('DDL3',			'0x70058', '0x180000')

('VGACNTRL',			'0x71400', '0x180000')

('CBR1',			'0x70400', '0x180000')
('CBR2',			'0x70404', '0x180000')
('CBR3',			'0x7040C', '0x180000')
('CBR4',			'0x70450', '0x180000')
('CCBR',			'0x70408', '0x180000')

('SWF00',			'0x70410', '0x180000')
('SWF01',			'0x70414', '0x180000')
('SWF02',			'0x70418', '0x180000')
('SWF03',			'0x7041C', '0x180000')
('SWF04',			'0x70420', '0x180000')
('SWF05',			'0x70424', '0x180000')
('SWF06',			'0x70428', '0x180000')
('SWF07',			'0x7042C', '0x180000')
('SWF08',			'0x70430', '0x180000')
('SWF09',			'0x70434', '0x180000')
('SWF0A',			'0x70438', '0x180000')
('SWF0B',			'0x7043C', '0x180000')
('SWF0C',			'0x70440', '0x180000')
('SWF0D',			'0x70444', '0x180000')
('SWF0E',			'0x70448', '0x180000')
('SWF0F',			'0x7044C', '0x180000')
('SWF10',			'0x71410', '0x180000')
('SWF11',			'0x71414', '0x180000')
('SWF12',			'0x71418', '0x180000')
('SWF13',			'0x7141C', '0x180000')
('SWF14',			'0x71420', '0x180000')
('SWF15',			'0x71424', '0x180000')
('SWF16',			'0x71428', '0x180000')
('SWF17',			'0x7142C', '0x180000')
('SWF18',			'0x71430', '0x180000')
('SWF19',			'0x71434', '0x180000')
('SWF1A',			'0x71438', '0x180000')
('SWF1B',			'0x7143C', '0x180000')
('SWF1C',			'0x71440', '0x180000')
('SWF1D',			'0x71444', '0x180000')
('SWF1E',			'0x71448', '0x180000')
('SWF1F',			'0x7144C', '0x180000')
('SWF30',			'0x72414', '0x180000')
('SWF31',			'0x72418', '0x180000')
('SWF32',			'0x7241C', '0x180000')

('PCSRC',			'0x73000', '0x180000')
('PCSTAT',			'0x73004', '0x180000')
('PCSRC2',			'0x73008', '0x180000')
('PCSTAT2',			'0x7300C', '0x180000')
('PCSRC3',			'0x73010', '0x180000')
('PCSTAT3',			'0x73014', '0x180000')

('PFIT_CONTROL',		'0x61230', '0x180000')
('PFIT_PGM_RATIOS',		'0x61234', '0x180000')
('PFIT_AUTO_RATION',		'0x61238', '0x180000')
('PFIT_INIT_PHASE',		'0x6123C', '0x180000')

('GPIOCTL_0',			'0x5010', '0x180000')
('GPIOCTL_1',			'0x5014', '0x180000')
('GPIOCTL_2',			'0x5018', '0x180000')
('GPIOCTL_3',			'0x501C', '0x180000')
('GPIOCTL_4',			'0x5020', '0x180000')

('GMBUS0',			'0x5100', '0x180000')
('GMBUS1',			'0x5104', '0x180000')
('GMBUS2',			'0x5108', '0x180000')
('GMBUS3',			'0x510C', '0x180000')
('GMBUS4',			'0x5110', '0x180000')
('GMBUS5',			'0x5120', '0x180000')
('GMBUS6',			'0x5130', '0x180000')
('GMBUS7',			'0x5134', '0x180000')

('RAWCLK_FREQ',			'0x6024', '0x180000')
('GMBUSFREQ',			'0x6510', '0x180000')
('DSPCLK_GATE_D',		'0x6200', '0x180000')
('DSPCLK1_GATE_D',		'0x6034', '0x180000')
('RAMCLK_GATE_D',		'0x6210', '0x180000')
('D_STATE',			'0x6104', '0x180000')
('DPPSR_CGDIS',			'0x6204', '0x180000')
('DPPSR1_CGDIS',		'0x6220', '0x180000')
('FW_BLC_SELF',			'0x6500', '0x180000')
('MI_ARB',			'0x6504', '0x180000')
('CZCLK_CDCLK_FREQ_RATIO',	'0x6508', '0x180000')
('GCI_CONTROL',			'0x650C', '0x180000')
('DOT_MIPI',			'0x6038', '0x180000')

('PORT_HOTPLUG_EN',		'0x61110', '0x180000')
('PORT_HOTPLUG_STAT',		'0x61114', '0x180000')
('HPD_LONG_VALUE',		'0x61120', '0x180000')
('HPD_FILTER_VALUE',		'0x61124', '0x180000')

('HDMIB',			'0x61140', '0x180000')
('HDMIC',			'0x61160', '0x180000')
('HDMID',			'0x6116C', '0x180000')

('DP2',				'0x61154', '0x180000')
('DIGITAL_HPD_CTRL',		'0x61164', '0x180000')
('DV_DETERM',			'0x61168', '0x180000')

('DP_AUX_CH_AKSV_HI',		'0x64130', '0x180000')
('DP_AUX_CH_AKSV_LO',		'0x64134', '0x180000')

('DP_B',			'0x64100', '0x180000')
('DPB_AUX_CH_CTL',		'0x64110', '0x180000')
('DPB_AUX_CH_DATA1',		'0x64114', '0x180000')
('DPB_AUX_CH_DATA2',		'0x64118', '0x180000')
('DPB_AUX_CH_DATA3',		'0x6411C', '0x180000')
('DPB_AUX_CH_DATA4',		'0x64120', '0x180000')
('DPB_AUX_CH_DATA5',		'0x64124', '0x180000')
('DPB_AUX_TST',			'0x64150', '0x180000')

('DP_C',			'0x64200', '0x180000')
('DPC_AUX_CH_CTL',		'0x64210', '0x180000')
('DPC_AUX_CH_DATA1',		'0x64214', '0x180000')
('DPC_AUX_CH_DATA2',		'0x64218', '0x180000')
('DPC_AUX_CH_DATA3',		'0x6421C', '0x180000')
('DPC_AUX_CH_DATA4',		'0x64220', '0x180000')
('DPC_AUX_CH_DATA5',		'0x64224', '0x180000')
('DPC_AUX_TST',			'0x64228', '0x180000')

('DP_D',			'0x64300', '0x180000')
('DPD_AUX_CH_CTL',		'0x64310', '0x180000')
('DPD_AUX_CH_DATA1',		'0x64314', '0x180000')
('DPD_AUX_CH_DATA2',		'0x64318', '0x180000')
('DPD_AUX_CH_DATA3',		'0x6431C', '0x180000')
('DPD_AUX_CH_DATA4',		'0x64320', '0x180000')
('DPD_AUX_CH_DATA5',		'0x64324', '0x180000')
('DPD_AUX_TST',			'0x64328', '0x180000')

('DPIO_PHY_CONTROL',		'0x60100', '0x180000')
('DPIO_PHY_GPIO_DATA',		'0x60108', '0x180000')
('DPIO_PHY_STATUS',		'0x6240', '0x180000')
('DPIO_PHY_STATUS1',		'0x60104', '0x180000')
('DPIO_PHY_STATUS2',		'0x6010C', '0x180000')

('DPIO_BONUS0',			'0x64138', '0x180000')
('DPIO_BONUS1',			'0x6413C', '0x180000')
