('BLEND_B',			'0x61A00', '0x180000')
('CANVAS_B',			'0x61A04', '0x180000')
('PRIMPOS_B',			'0x61A08', '0x180000')
('PRIMSIZE_B',			'0x61A0C', '0x180000')
('PRIMB_CNSTalpha',		'0x61A10', '0x180000')
('FLIP_DIS',			'0x61B00', '0x180000')

('SPCSCYGOFF_C',		'0x6D900', '0x180000')
('SPCSCBGOFF_C',		'0x6D904', '0x180000')
('SPCSCCROFF_C',		'0x6D908', '0x180000')
('SPCSCC01_C',			'0x6D90C', '0x180000')
('SPCSCC23_C',			'0x6D910', '0x180000')
('SPCSCC45_C',			'0x6D914', '0x180000')
('SPCSCC67_C',			'0x6D918', '0x180000')
('SPCSCC8_C',			'0x6D91C', '0x180000')
('SPCSCYGICLAMP_C',		'0x6D920', '0x180000')
('SPCSCCBICLAMP_C',		'0x6D924', '0x180000')
('SPCSCCRICLAMP_C',		'0x6D928', '0x180000')
('SPCSCYGOCLAMP_C',		'0x6D92C', '0x180000')
('SPCSCCBOCLAMP_C',		'0x6D930', '0x180000')
('SPCSCCROCLAMP_C',		'0x6D934', '0x180000')
('SPCSCYGOFF_D',		'0x6E900', '0x180000')
('SPCSCBGOFF_D',		'0x6E904', '0x180000')
('SPCSCCROFF_D',		'0x6E908', '0x180000')
('SPCSCC01_D',			'0x6E90C', '0x180000')
('SPCSCC23_D',			'0x6E910', '0x180000')
('SPCSCC45_D',			'0x6E914', '0x180000')
('SPCSCC67_D',			'0x6E918', '0x180000')
('SPCSCC8_D',			'0x6E91C', '0x180000')
('SPCSCYGICLAMP_D',		'0x6E920', '0x180000')
('SPCSCCBICLAMP_D',		'0x6E924', '0x180000')
('SPCSCCRICLAMP_D',		'0x6E928', '0x180000')
('SPCSCYGOCLAMP_D',		'0x6E92C', '0x180000')
('SPCSCCBOCLAMP_D',		'0x6E930', '0x180000')
('SPCSCCROCLAMP_D',		'0x6E934', '0x180000')

('PCPSXCONFIG',			'0x6D000', '0x180000')
('PCPSXHS_CNTL',		'0x6D100', '0x180000')
('PCPSXHS_H',			'0x6D104', '0x180000')
('PCPSXHS_W',			'0x6D108', '0x180000')
('PCPSXHS_NBP',			'0x6D10C', '0x180000')
('PCPSXHS_ISF',			'0x6D110', '0x180000')
('PCPSXHS_PC',			'0x6D114', '0x180000')
('PCPSXHS_PM_0_W0',		'0x6D200', '0x180000')
('PCPSXHS_PM_0_W1',		'0x6D204', '0x180000')
('PCPSXHS_PM_0_W3',		'0x6D208', '0x180000')
('PCPSXHS_PM_0_W4',		'0x6D20C', '0x180000')
('PCPSXHS_PM_1_W0',		'0x6D210', '0x180000')
('PCPSXHS_PM_1_W1',		'0x6D214', '0x180000')
('PCPSXHS_PM_1_W2',		'0x6D218', '0x180000')
('PCPSXHS_PM_1_W3',		'0x6D21C', '0x180000')
('PCPSXHS_PM_2_W0',		'0x6D220', '0x180000')
('PCPSXHS_PM_2_W1',		'0x6D224', '0x180000')
('PCPSXHS_PM_2_W2',		'0x6D228', '0x180000')
('PCPSXHS_PM_2_W3',		'0x6D22C', '0x180000')
('PCPSXHS_PM_3_W0',		'0x6D230', '0x180000')
('PCPSXHS_PM_3_W1',		'0x6D234', '0x180000')
