('PLL1_DW0',		'0x8000', 'DPIO')
('PLL1_DW1',		'0x8004', 'DPIO')
('PLL1_DW2',		'0x8008', 'DPIO')
('PLL1_DW3',		'0x800C', 'DPIO')
('PLL1_DW4',		'0x8010', 'DPIO')
('PLL1_DW5',		'0x8014', 'DPIO')
('PLL1_DW6',		'0x8018', 'DPIO')
('PLL1_DW7',		'0x801C', 'DPIO')
('PLL2_DW0',		'0x8020', 'DPIO')
('PLL2_DW1',		'0x8024', 'DPIO')
('PLL2_DW2',		'0x8028', 'DPIO')
('PLL2_DW3',		'0x802C', 'DPIO')
('PLL2_DW4',		'0x8030', 'DPIO')
('PLL2_DW5',		'0x8034', 'DPIO')
('PLL2_DW6',		'0x8038', 'DPIO')
('PLL2_DW7',		'0x803C', 'DPIO')
('PLL1_EXT_DW0',	'0x8040', 'DPIO')
('PLL1_EXT_DW1',	'0x8044', 'DPIO')
('PLL1_EXT_DW2',	'0x8048', 'DPIO')
('PLL1_EXT_DW3',	'0x804C', 'DPIO')
('PLL1_EXT_DW4',	'0x8050', 'DPIO')
('PLL1_EXT_DW5',	'0x8054', 'DPIO')
('PLL1_EXT_DW6',	'0x8058', 'DPIO')
('PLL1_EXT_DW7',	'0x805C', 'DPIO')
('PLL2_EXT_DW0',	'0x8060', 'DPIO')
('PLL2_EXT_DW1',	'0x8064', 'DPIO')
('PLL2_EXT_DW2',	'0x8068', 'DPIO')
('PLL2_EXT_DW3',	'0x806C', 'DPIO')
('PLL2_EXT_DW4',	'0x8070', 'DPIO')
('PLL2_EXT_DW5',	'0x8074', 'DPIO')
('PLL2_EXT_DW6',	'0x8078', 'DPIO')
('PLL2_EXT_DW7',	'0x807C', 'DPIO')
('REF_DW0',		'0x80A0', 'DPIO')
('REF_DW1',		'0x80A4', 'DPIO')
('REF_DW2',		'0x80A8', 'DPIO')
('REF_DW3',		'0x80AC', 'DPIO')
('REF_DW4',		'0x80B0', 'DPIO')
('REF_DW5',		'0x80B4', 'DPIO')
