('PIPEA_DSL',			'0x70000', '0x180000')
('PIPEA_SLC',			'0x70004', '0x180000')
('PIPEACONF',			'0x70008', '0x180000')
('PIPEAGCMAXRED',		'0x70010', '0x180000')
('PIPEAGCMAXGREEN',		'0x70014', '0x180000')
('PIPEAGCMAXBLUE',		'0x70018', '0x180000')
('PIPEASTAT',			'0x70024', '0x180000')
('PIPEAFRAMECOUNT',		'0x70040', '0x180000')
('PIPEAFLIPCOUNT',		'0x70044', '0x180000')
('PIPEAMSAMISC',		'0x70048', '0x180000')

('DSPAADDR',			'0x7017C', '0x180000')
('DSPACNTR',			'0x70180', '0x180000')
('DSPALINOFF',			'0x70184', '0x180000')
('DSPASTRIDE',			'0x70188', '0x180000')
('DSPAKEYVAL',			'0x70194', '0x180000')
('DSPAKEYMSK',			'0x70198', '0x180000')
('DSPASURF',			'0x7019C', '0x180000')
('DSPATILEOFF',			'0x701A4', '0x180000')
('DSPASURFLIVE',		'0x701AC', '0x180000')
('DSPAFLPQSTAT',		'0x70200', '0x180000')

('CURACNTR',			'0x70080', '0x180000')
('CURABASE',			'0x70084', '0x180000')
('CURAPOS',			'0x70088', '0x180000')
('CURARESV',			'0x7008C', '0x180000')
('CURAPALET0',			'0x70090', '0x180000')
('CURAPALET1',			'0x70094', '0x180000')
('CURAPALET2',			'0x70098', '0x180000')
('CURAPALET3',			'0x7009C', '0x180000')
('CURALIVEBASE',		'0x700AC', '0x180000')

('SPACNTR',			'0x72180', '0x180000')
('SPALINOFF',			'0x72184', '0x180000')
('SPASTRIDE',			'0x72188', '0x180000')
('SPAPOS',			'0x7218C', '0x180000')
('SPASIZE',			'0x72190', '0x180000')
('SPAKEYMINVAL',		'0x72194', '0x180000')
('SPAKEYMSK',			'0x72198', '0x180000')
('SPASURF',			'0x7219C', '0x180000')
('SPAKEYMAXVAL',		'0x721A0', '0x180000')
('SPATILEOFF',			'0x721A4', '0x180000')
('SPACONTALPHA',		'0x721A8', '0x180000')
('SPALIVESURF',			'0x721AC', '0x180000')
('SPACLRC0',			'0x721D0', '0x180000')
('SPACLRC1',			'0x721D4', '0x180000')
('SPAGAMC5',			'0x721E0', '0x180000')
('SPAGAMC4',			'0x721E4', '0x180000')
('SPAGAMC3',			'0x721E8', '0x180000')
('SPAGAMC2',			'0x721EC', '0x180000')
('SPAGAMC1',			'0x721F0', '0x180000')
('SPAGAMC0',			'0x721F4', '0x180000')

('SPBCNTR',			'0x72280', '0x180000')
('SPBLINOFF',			'0x72284', '0x180000')
('SPBSTRIDE',			'0x72288', '0x180000')
('SPBPOS',			'0x7228C', '0x180000')
('SPBSIZE',			'0x72290', '0x180000')
('SPBKEYMINVAL',		'0x72294', '0x180000')
('SPBKEYMSK',			'0x72298', '0x180000')
('SPBSURF',			'0x7229C', '0x180000')
('SPBKEYMAXVAL',		'0x722A0', '0x180000')
('SPBTILEOFF',			'0x722A4', '0x180000')
('SPBCONTALPHA',		'0x722A8', '0x180000')
('SPBLIVESURF',			'0x722AC', '0x180000')
('SPBCLRC0',			'0x722D0', '0x180000')
('SPBCLRC1',			'0x722D4', '0x180000')
('SPBGAMC5',			'0x722E0', '0x180000')
('SPBGAMC4',			'0x722E4', '0x180000')
('SPBGAMC3',			'0x722E8', '0x180000')
('SPBGAMC2',			'0x722EC', '0x180000')
('SPBGAMC1',			'0x722F0', '0x180000')
('SPBGAMC0',			'0x722F4', '0x180000')

('DPALETTE_A',			'0xA000', '0x180000')
('DPLLA_CTRL',			'0x6014', '0x180000')
('DPLLAMD',			'0x601C', '0x180000')

('HTOTAL_A',			'0x60000', '0x180000')
('HBLANK_A',			'0x60004', '0x180000')
('HSYNC_A',			'0x60008', '0x180000')
