('PIPEB_DSL',			'0x71000', '0x180000')
('PIPEB_SLC',			'0x71004', '0x180000')
('PIPEBCONF',			'0x71008', '0x180000')
('PIPEBGCMAXRED',		'0x71010', '0x180000')
('PIPEBGCMAXGREEN',		'0x71014', '0x180000')
('PIPEBGCMAXBLUE',		'0x71018', '0x180000')
('PIPEBSTAT',			'0x71024', '0x180000')
('PIPEBFRAMECOUNT',		'0x71040', '0x180000')
('PIPEBFLIPCOUNT',		'0x71044', '0x180000')
('PIPEBMSAMISC',		'0x71048', '0x180000')

('DSPBADDR',			'0x7117C', '0x180000')
('DSPBCNTR',			'0x71180', '0x180000')
('DSPBLINOFF',			'0x71184', '0x180000')
('DSPBSTRIDE',			'0x71188', '0x180000')
('DSPBKEYVAL',			'0x71194', '0x180000')
('DSPBKEYMSK',			'0x71198', '0x180000')
('DSPBSURF',			'0x7119C', '0x180000')
('DSPBTILEOFF',			'0x711A4', '0x180000')
('DSPBSURFLIVE',		'0x711AC', '0x180000')
('DSPBFLPQSTAT',		'0x71200', '0x180000')

('CURBCNTR',			'0x700C0', '0x180000')
('CURBBASE',			'0x700C4', '0x180000')
('CURBPOS',			'0x700C8', '0x180000')
('CURBRESV',			'0x700CC', '0x180000')
('CURBPALET0',			'0x700D0', '0x180000')
('CURBPALET1',			'0x700D4', '0x180000')
('CURBPALET2',			'0x700D8', '0x180000')
('CURBPALET3',			'0x700DC', '0x180000')
('CURBLIVEBASE',		'0x700EC', '0x180000')

('SPCCNTR',			'0x72380', '0x180000')
('SPCLINOFF',			'0x72384', '0x180000')
('SPCSTRIDE',			'0x72388', '0x180000')
('SPCPOS',			'0x7238C', '0x180000')
('SPCSIZE',			'0x72390', '0x180000')
('SPCKEYMINVAL',		'0x72394', '0x180000')
('SPCKEYMSK',			'0x72398', '0x180000')
('SPCSURF',			'0x7239C', '0x180000')
('SPCKEYMAXVAL',		'0x723A0', '0x180000')
('SPCTILEOFF',			'0x723A4', '0x180000')
('SPCCONTALPHA',		'0x723A8', '0x180000')
('SPCLIVESURF',			'0x723AC', '0x180000')
('SPCCLRC0',			'0x723D0', '0x180000')
('SPCCLRC1',			'0x723D4', '0x180000')
('SPCGAMC5',			'0x723E0', '0x180000')
('SPCGAMC4',			'0x723E4', '0x180000')
('SPCGAMC3',			'0x723E8', '0x180000')
('SPCGAMC2',			'0x723EC', '0x180000')
('SPCGAMC1',			'0x723F0', '0x180000')
('SPCGAMC0',			'0x723F4', '0x180000')

('SPDCNTR',			'0x72480', '0x180000')
('SPDLINOFF',			'0x72484', '0x180000')
('SPDSTRIDE',			'0x72488', '0x180000')
('SPDPOS',			'0x7248C', '0x180000')
('SPDSIZE',			'0x72490', '0x180000')
('SPDKEYMINVAL',		'0x72494', '0x180000')
('SPDKEYMSK',			'0x72498', '0x180000')
('SPDSURF',			'0x7249C', '0x180000')
('SPDKEYMAXVAL',		'0x724A0', '0x180000')
('SPDTILEOFF',			'0x724A4', '0x180000')
('SPDCONTALPHA',		'0x724A8', '0x180000')
('SPDLIVESURF',			'0x724AC', '0x180000')
('SPDCLRC0',			'0x724D0', '0x180000')
('SPDCLRC1',			'0x724D4', '0x180000')
('SPDGAMC5',			'0x724E0', '0x180000')
('SPDGAMC4',			'0x724E4', '0x180000')
('SPDGAMC3',			'0x724E8', '0x180000')
('SPDGAMC2',			'0x724EC', '0x180000')
('SPDGAMC1',			'0x724F0', '0x180000')
('SPDGAMC0',			'0x724F4', '0x180000')

('DPALETTE_B',			'0xA800', '0x180000')
('DPLLB_CTRL',			'0x6018', '0x180000')
('DPLLBMD',			'0x6020', '0x180000')

('HTOTAL_B',			'0x61000', '0x180000')
('HBLANK_B',			'0x61004', '0x180000')
('HSYNC_B',			'0x61008', '0x180000')
